reaction_id,reaction_name,reaction_class,subclass,description,difficulty,conditions,solvent,temperature,major_product_rule,selectivity_notes,stereochemistry_notes,supported,source_reference
RXN_CANNIZZARO_001,Cannizzaro Reaction,Carbonyl & Enolate,Redox Disproportionation,Base-induced hydride-transfer disproportionation of non-enolizable aldehydes yielding equimolar primary alcohol and carboxylic acid.,Intermediate,Concentrated strong hydroxide (50% aq NaOH or KOH),H2O,Room temperature to 60°C,Equimolar primary alcohol and carboxylate salt,"Only non-enolizable aldehydes (benzaldehyde, formaldehyde, pivalaldehyde)",Acyclic/achiral outcome,true,"Kürti & Czakó, Named Reactions, p. 74"
RXN_GRIGNARD_ALD_001,Grignard Addition to Aldehydes & Ketones,Organometallics,Organomagnesium Nucleophilic Addition,Nucleophilic carbanion transfer from organomagnesium halide (RMgX) to carbonyl carbon followed by aqueous acid workup.,Intermediate,"Anhydrous conditions under inert argon/N2, then mild aq. NH4Cl workup",Dry diethyl ether / THF,0°C to reflux (35°C),Formaldehyde -> 1° alcohol; Aldehydes -> 2° alcohol; Ketones -> 3° alcohol,"Strictly incompatible with acidic protons (water, alcohols, terminal alkynes)",Cram / Felkin-Anh model predicts facial diastereoselectivity for chiral aldehydes,true,"March's Advanced Organic Chemistry, 8th Ed., Ch. 16"
RXN_GRIGNARD_EST_001,Grignard Addition to Esters,Organometallics,Double Nucleophilic Acyl Addition,"Two equivalents of Grignard reagent add sequentially to an ester via ketone intermediate, yielding symmetrical tertiary alcohol.",Advanced,">= 2 equivalents RMgX in anhydrous ether, followed by aq NH4Cl workup",Dry Et2O / THF,0°C to Room Temperature,Tertiary alcohol containing two identical R groups derived from Grignard reagent,Intermediate ketone is more reactive than starting ester and cannot be isolated,Achiral or racemic tertiary alcohol,true,"Carey & Sundberg Part B, Ch. 7"
RXN_ESTER_FISCHER_001,Fischer Esterification,Carboxylic Acid Derivatives,Acid-Catalyzed Nucleophilic Acyl Substitution,Acid-catalyzed condensation of a carboxylic acid with an alcohol proceeding via tetrahedral intermediate under Le Chatelier equilibrium.,Intermediate,"Catalytic strong acid (H2SO4, p-TsOH), excess alcohol or Dean-Stark water removal",Alcohol as reagent and solvent,Reflux (65-80°C),Ester and water,Steric crowding around alpha-carbon of carboxylic acid retards reaction rate,Configuration of chiral alcohol is retained (C-O bond of acid is broken),true,"March's Advanced Organic Chemistry, 8th Ed., Ch. 16"
RXN_ACYL_CHLOR_001,Alcoholysis of Acid Chlorides,Carboxylic Acid Derivatives,Addition-Elimination,Rapid nucleophilic acyl substitution of an acyl chloride with alcohol in the presence of pyridine or triethylamine.,Intermediate,"Base scavenger (pyridine, DMAP, Et3N) to neutralize generated HCl",CH2Cl2 / THF,0°C to Room Temperature,Ester + pyridinium chloride salt,Acid chlorides are highly reactive and react cleanly without acid catalysis,Stereocenter on alcohol is 100% retained,true,"Smith, Organic Synthesis, 4th Ed., Ch. 3"
RXN_AMIDE_FORM_001,Amide Formation from Acyl Chloride,Carboxylic Acid Derivatives,Aminolysis,Exothermic addition-elimination between acyl chloride and primary or secondary amine yielding an amide.,Intermediate,2 equivalents amine (or 1 equiv amine + 1 equiv Et3N),CH2Cl2 / Et2O,0°C to Room Temperature,Secondary or tertiary amide + amine hydrochloride,Primary and secondary amines react smoothly; tertiary amines do not form stable amides,Rigid planar amide bond with partial double bond character (trans preferred),true,"Carey & Sundberg Part B, Ch. 3"
RXN_EAS_NITRATION_001,Electrophilic Aromatic Nitration,Electrophilic Aromatic Substitution,Nitration,Aromatic substitution by nitronium ion (NO2+) generated in situ from mixed nitric and sulfuric acids via Arenium ion (Wheland complex).,Intermediate,Concentrated HNO3 + concentrated H2SO4 (nitrating mixture),Neat / H2SO4,50-55°C,Nitroarene (Ar-NO2),EDG directs ortho/para; EWG directs meta and deactivates ring,Planar aromatic ring preserved,true,"March's Advanced Organic Chemistry, 8th Ed., Ch. 11"
RXN_EAS_HALOGENATION_001,Electrophilic Aromatic Bromination,Electrophilic Aromatic Substitution,Halogenation,Bromination of aromatic ring catalyzed by Lewis acid (FeBr3 or AlBr3) via polarization of Br2.,Intermediate,Br2 with catalytic FeBr3 / AlBr3,CCl4 / CH2Cl2,Room Temperature (25°C),Bromoarene (Ar-Br) + HBr,"Activating groups (OH, NH2, OMe) accelerate and direct ortho/para",Aromatic planarity restored upon proton loss from sigma complex,true,"Carey & Sundberg Part A, Ch. 10"
RXN_FC_ALKYLATION_001,Friedel-Crafts Alkylation,Electrophilic Aromatic Substitution,Friedel-Crafts,Alkylation of aromatic ring by carbocation generated from alkyl halide and strong Lewis acid (AlCl3).,Intermediate,Alkyl halide + anhydrous AlCl3,CH2Cl2 / CS2,0-40°C,Alkylarene (subject to carbocation rearrangement),"Prone to polyalkylation and 1,2-hydride/alkyl skeletal rearrangements",Rearranged carbocation determines major product regiochemistry,true,"March's Advanced Organic Chemistry, 8th Ed., Ch. 11"
RXN_FC_ACYLATION_001,Friedel-Crafts Acylation,Electrophilic Aromatic Substitution,Friedel-Crafts,Acylation of aromatic ring by resonance-stabilized acylium ion (R-C≡O+) avoiding rearrangement and polyalkylation.,Intermediate,Acyl chloride or anhydride + >1 equiv anhydrous AlCl3,CH2Cl2 / Nitrobenzene,0-25°C,Aryl alkyl ketone (Ar-CO-R),No rearrangement occurs; deactivating carbonyl prevents polyacylation,Regiochemistry strictly ortho/para for activated substrates,true,"Strategic Applications of Named Reactions, p. 176"
RXN_WITTIG_001,Wittig Olefination Reaction,Named Reactions,Carbonyl Olefination,Coupling of an aldehyde or ketone with a triphenylphosphonium ylide via oxaphosphetane intermediate to form an alkene and Ph3P=O.,Advanced,Phosphonium ylide generated with strong base (n-BuLi or NaH),Dry THF / Et2O,-78°C to Room Temperature,Regiospecific alkene exactly at carbonyl position,Non-stabilized ylides yield (Z)-alkenes; stabilized ylides yield (E)-alkenes,Kinetic control gives Z-alkene; thermodynamic gives E-alkene,true,"Kürti & Czakó, Named Reactions, p. 488"
RXN_DIELS_ALDER_001,Diels-Alder [4+2] Cycloaddition,Pericyclic Reactions,Cycloaddition,Concerted suprafacial [4pi + 2pi] thermal cycloaddition between s-cis conjugated diene and dienophile creating a cyclohexene ring.,Advanced,"Thermal (heat) or Lewis acid catalysis (AlCl3, TiCl4)",Toluene / Benzene / CH2Cl2,25-110°C,Substituted cyclohexene derivative with syn-stereochemistry,Endo rule governs kinetic product due to secondary orbital interaction,Strictly stereospecific suprafacial-suprafacial addition,true,"Woodward & Hoffmann, Conservation of Orbital Symmetry, Ch. 6"
RXN_BAEYER_VILLIGER_001,Baeyer-Villiger Oxidation,Oxidations & Reductions,Peroxyacid Oxidation,Peroxyacid-mediated oxidative cleavage of ketones into esters (or cyclic ketones into lactones) via Criegee intermediate.,Advanced,mCPBA or trifluoroperacetic acid (TFPAA) with buffer (NaHCO3),CH2Cl2,0°C to Room Temperature,Ester or lactone with oxygen inserted adjacent to more substituted carbon,Migratory aptitude: 3° alkyl > cyclohexyl > 2° alkyl ~ benzyl > phenyl > 1° alkyl > methyl,Retention of configuration at migrating stereocenter,true,"Strategic Applications of Named Reactions, p. 28"
RXN_BECKMANN_001,Beckmann Rearrangement,Molecular Rearrangements,Oxime Rearrangement,Acid-catalyzed rearrangement of ketoximes to substituted amides via anti-periplanar migration to electron-deficient nitrogen.,Advanced,"Protic acid (H2SO4, PPA) or Lewis acid (SOCl2, PCl5)",Neat / Ether,60-100°C,Substituted amide or lactone (cyclic oxime -> lactam),Strict migration of the group positioned anti to the oxime hydroxyl group,Intramolecular concerted migration with complete retention of migrating carbon configuration,true,"Kürti & Czakó, Named Reactions, p. 44"
RXN_PINACOL_001,Pinacol-Pinacolone Rearrangement,Molecular Rearrangements,"1,2-Diol Rearrangement","Acid-catalyzed dehydration and 1,2-alkyl or aryl shift of vicinal diols to give carbonyl compounds.",Intermediate,Concentrated H2SO4 or TsOH with heat,Aqueous H2SO4 / Benzene,80-100°C,Ketone (pinacolone derivative),Protonation occurs at OH yielding more stable carbocation; aryl groups migrate faster than alkyl,"Inversion at migration terminus, retention at migrating group",true,"March's Advanced Organic Chemistry, 8th Ed., Ch. 18"
RXN_NABH4_RED_001,Sodium Borohydride Reduction of Carbonyls,Oxidations & Reductions,Hydride Reduction,"Mild, chemoselective reduction of aldehydes and ketones to primary and secondary alcohols respectively.",Fundamental,NaBH4 in protic solvent,MeOH / EtOH,0°C to Room Temperature,Aldehyde -> Primary Alcohol; Ketone -> Secondary Alcohol,"Chemoselective: Does not reduce esters, amides, or carboxylic acids",Hydride delivery from less hindered face (Felkin-Anh control),true,"March's Advanced Organic Chemistry, 8th Ed., Ch. 19"
RXN_LIALH4_RED_001,Lithium Aluminium Hydride Reduction of Esters,Oxidations & Reductions,Hydride Reduction,Powerful nucleophilic hydride reduction of esters to two primary alcohols via aldehyde intermediate.,Intermediate,"Anhydrous LiAlH4 under argon, followed by Fieser workup",Dry THF / Diethyl ether,0°C to Reflux,Primary alcohol (from acyl portion) + alcohol (from alkoxy portion),"Reduces esters, carboxylic acids, amides, aldehydes, ketones",Achiral primary alcohol outcome,true,"Carey & Sundberg Part B, Ch. 5"
RXN_PCC_OXID_001,PCC Oxidation of Alcohols,Oxidations & Reductions,Chromium(VI) Oxidation,"Mild, anhydrous oxidation of primary alcohols to aldehydes (avoiding over-oxidation) and secondary alcohols to ketones.",Intermediate,Pyridinium chlorochromate (PCC) in anhydrous organic solvent,Dry CH2Cl2,Room Temperature (25°C),1° Alcohol -> Aldehyde; 2° Alcohol -> Ketone,Absence of water prevents gem-diol formation and over-oxidation to carboxylic acid,Planar sp2 carbonyl created,true,"Strategic Applications of Named Reactions, p. 118"
RXN_EPOXIDATION_001,Prilezhaev Alkene Epoxidation,Oxidations & Reductions,Peroxyacid Epoxidation,Concerted electrophilic oxygen transfer from peroxycarboxylic acid (mCPBA) to alkene forming an oxirane ring with syn stereospecificity.,Intermediate,mCPBA (meta-chloroperbenzoic acid) + solid NaHCO3 buffer,CH2Cl2,0°C to Room Temperature,Epoxide (oxirane),"Electron-rich, more substituted alkenes react significantly faster",100% stereospecific syn-addition: cis-alkene gives cis-epoxide; trans-alkene gives trans-epoxide,true,"March's Advanced Organic Chemistry, 8th Ed., Ch. 15"
RXN_HYDROBORATION_001,Hydroboration-Oxidation of Alkenes,Electrophilic Addition,Borane Addition,Concerted syn-addition of borane (BH3·THF) across an alkene followed by alkaline peroxide oxidation yielding anti-Markovnikov alcohol.,Intermediate,"1. BH3:THF complex (syn-addition); 2. H2O2, aq NaOH (oxidation)",THF / H2O,0°C to 25°C,Anti-Markovnikov primary or secondary alcohol,"Boron attaches to less hindered, less substituted alkene carbon",Stereospecific syn-addition of H and OH with retention of configuration during oxidation,true,"Carey & Sundberg Part B, Ch. 4"
RXN_OXYMERCURATION_001,Oxymercuration-Demercuration,Electrophilic Addition,Mercury-Mediated Hydration,"Electrophilic addition of mercuric acetate across alkene forming cyclic mercurinium ion, water attack, and NaBH4 demercuration.",Intermediate,"1. Hg(OAc)2 in H2O/THF; 2. NaBH4, aq NaOH",THF / H2O,Room Temperature (25°C),Markovnikov alcohol without carbocation rearrangement,Nucleophile attacks more substituted carbon of mercurinium ion,Anti-addition of Hg and OH in step 1; demercuration is non-stereospecific,true,"March's Advanced Organic Chemistry, 8th Ed., Ch. 15"
RXN_CAT_HYDROGENATION_001,Catalytic Hydrogenation of Alkenes,Oxidations & Reductions,Heterogeneous Hydrogenation,"Heterogeneous syn-addition of molecular hydrogen across a pi bond over metal catalyst (Pd/C, PtO2, Raney Ni).",Fundamental,H2 gas (1-3 atm) over 5-10% Pd on activated charcoal,EtOH / EtOAc / MeOH,Room Temperature (25°C),Alkane from alkene reduction,Alkenes reduce faster than carbonyls and aromatic rings,100% syn-addition of two hydrogen atoms from catalyst surface,true,"Smith, Organic Synthesis, 4th Ed., Ch. 4"
RXN_DIAZOTIZATION_001,Diazotization of Aromatic Amines,Named Reactions,Diazonium Salt Formation,Reaction of primary aromatic amine with nitrous acid (NaNO2 + HCl) at low temperature to generate an arenediazonium salt.,Intermediate,"NaNO2 + conc. HCl, ice bath (0-5°C to avoid thermal decomposition)",Aqueous HCl,0-5°C,Arenediazonium chloride salt (Ar-N2+ Cl-),Strict temperature control <= 5°C required; forms versatile synthetic intermediate,Planar aromatic diazonium cation,true,"March's Advanced Organic Chemistry, 8th Ed., Ch. 13"
RXN_SANDMEYER_001,Sandmeyer Reaction,Named Reactions,Radical-Nucleophilic Substitution,"Copper(I)-catalyzed replacement of diazonium group in arenediazonium salts with Cl, Br, or CN.",Intermediate,Copper(I) halide (CuCl or CuBr) or CuCN,Aqueous HCl / H2O,0°C then warmed to 60°C,"Aryl halide (Ar-Cl, Ar-Br) or aryl nitrile (Ar-CN) + N2 gas",Proceeds via single-electron transfer (SET) aryl radical pathway,Planar aromatic ring preserved,true,"Strategic Applications of Named Reactions, p. 394"
RXN_KNOEVENAGEL_001,Knoevenagel Condensation,Carbonyl & Enolate,Active Methylene Condensation,"Weak-base catalyzed condensation of an active methylene compound (malonate, cyanoacetate) with an aldehyde or ketone followed by dehydration.",Advanced,Weak amine base catalyst (piperidine / beta-alanine) with acetic acid,Benzene / Toluene / EtOH,Reflux with Dean-Stark water removal (80-110°C),"alpha,beta-unsaturated dicarbonyl / diester / nitrile",Active methylene (pKa < 13) reacts selectively without self-condensation of aldehyde,Predominantly (E)-geometry of conjugated alkene,true,"Kürti & Czakó, Named Reactions, p. 248"
