reaction_id,step_id,step_number,step_title,step_description,intermediate_id,electron_flow_ids,bond_changes,charge_changes,is_rate_determining,is_reversible
RXN_ALDOL_001,ST_ALDOL_03,3,Protonation to Beta-Hydroxy Carbonyl,"Alkoxide oxygen abstracts a proton from solvent water, regenerating catalytic hydroxide and yielding the stable aldol addition product.",,EF_ALDOL_05,O-H formed,Neutral beta-hydroxy carbonyl product,false,false
RXN_ALDOL_COND_001,ST_ALD_COND_01,1,Aldol Addition Product Formation,Base generates enolate which attacks carbonyl partner to produce beta-hydroxy aldehyde intermediate.,INT_BETA_HYDROXY,EF_ALD_COND_01,C-C formed,Neutral intermediate,false,true
RXN_ALDOL_COND_001,ST_ALD_COND_02,2,E1cB Dehydration to Conjugated Enone,Base abstracts remaining alpha-proton and eliminates hydroxide via E1cB pathway yielding thermodynamically favored (E)-enone.,,EF_ALD_COND_02|EF_ALD_COND_03,C=C formed; C-OH broken,OH- expelled; neutral conjugated alkene,true,false
RXN_CLAISEN_001,ST_CLAISEN_01,1,Ester Enolate Formation,Alkoxide base removes alpha-proton from ester to generate ester enolate.,INT_ESTER_ENOLATE,EF_CLAISEN_01,C-H broken,Ester enolate formed,false,true
RXN_CLAISEN_001,ST_CLAISEN_02,2,Nucleophilic Acyl Addition-Elimination,Enolate attacks second ester carbonyl; tetrahedral intermediate collapses expelling alkoxide leaving group to form beta-keto ester.,INT_BETA_KETO_ESTER,EF_CLAISEN_02|EF_CLAISEN_03,C-C formed; C-OR broken,Alkoxide expelled,true,true
RXN_CLAISEN_001,ST_CLAISEN_03,3,Irreversible Deprotonation Driving Force,Alkoxide base deprotonates doubly activated methylene between the two carbonyls; acidification during workup gives neutral beta-keto ester.,,EF_CLAISEN_04,C-H broken; workup restores H,Delocalized enolate stabilized; neutral on acid quench,false,false
RXN_GRIGNARD_ALD_001,ST_GRIG_01,1,Nucleophilic Carbanion Attack on Carbonyl,"The polarized nucleophilic alkyl group of the Grignard reagent (R-MgX) attacks the electropositive carbonyl carbon, displacing pi electrons onto oxygen.",INT_MAGNESIUM_ALKOXIDE,EF_GRIG_01|EF_GRIG_02,C-C formed; C=O pi broken to C-O-MgX+,Carbonyl carbon sp2 -> sp3; oxygen coordinated to Mg2+,true,false
RXN_GRIGNARD_ALD_001,ST_GRIG_02,2,Aqueous Acid Workup & Protonation,"Addition of aqueous ammonium chloride protonates the magnesium alkoxide, yielding the pure alcohol product and basic magnesium salt precipitate.",,EF_GRIG_03,O-H formed; O-Mg cleaved,Neutral alcohol product,false,false
RXN_ESTER_FISCHER_001,ST_FISCHER_01,1,Carbonyl Activation via Protonation,"Strong acid protonates the carbonyl oxygen of carboxylic acid, significantly increasing the electrophilicity of the carbonyl carbon.",INT_PROTONATED_ACID,EF_FISCH_01,O-H+ formed,Acid acquires +1 charge on oxygen,false,true
RXN_ESTER_FISCHER_001,ST_FISCHER_02,2,Alcohol Nucleophilic Attack & Tetrahedral Intermediate,"Alcohol oxygen lone pair attacks the activated carbonyl carbon, forming a tetrahedral gem-diol mono-oxonium intermediate.",INT_TETRAHEDRAL_EST,EF_FISCH_02|EF_FISCH_03,C-O(alcohol) formed; C=O pi becomes C-OH,Positive charge on alcohol oxygen,true,true
RXN_ESTER_FISCHER_001,ST_FISCHER_03,3,Proton Transfer & Water Elimination,"Intramolecular or solvent-mediated proton transfer converts a hydroxyl into good leaving group -OH2+, which is eliminated with reformation of carbonyl C=O.",,EF_FISCH_04|EF_FISCH_05,C-OH2 broken (water departs); C=O reformed; final deprotonation,Neutral ester product + regenerated H+ catalyst,false,true
RXN_EAS_NITRATION_001,ST_EAS_NIT_01,1,In Situ Nitronium Ion (NO2+) Generation,"Sulfuric acid protonates nitric acid, triggering dehydration to generate the potent linear electrophile nitronium ion (O=N+=O).",INT_NITRONIUM,EF_NIT_01,N-OH2 broken to N=O,Nitronium ion carries +1 formal charge,false,true
RXN_EAS_NITRATION_001,ST_EAS_NIT_02,2,Electrophilic Attack & Arenium Ion (Wheland Complex),"Aromatic pi cloud attacks the nitronium ion, disrupting aromaticity and creating a resonance-stabilized cyclohexadienyl carbocation (sigma complex).",INT_WHELAND_COMPLEX,EF_NIT_02|EF_NIT_03,C-N formed; aromatic pi bond broken,+1 charge delocalized over ortho/para carbons,true,true
RXN_EAS_NITRATION_001,ST_EAS_NIT_03,3,Deprotonation & Rearomatization,"Bisulfate base (HSO4-) removes the proton from the sp3 carbon; C-H bonding pair restores the aromatic sextet, yielding nitrobenzene.",,EF_NIT_04|EF_NIT_05,C-H broken; aromatic ring restored,Neutral nitroarene + regenerated H2SO4 catalyst,false,false
RXN_DIELS_ALDER_001,ST_DA_01,1,Concerted [4+2] Suprafacial Cycloaddition,A 6-pi-electron cyclic transition state occurs simultaneously: diene HOMO interacts with dienophile LUMO to form two new C-C sigma bonds and one new C=C pi bond.,TS_CYCLOADDITION,EF_DA_01|EF_DA_02|EF_DA_03,2 new C-C sigma bonds formed; diene C2-C3 pi bond formed; 2 diene pi and 1 dienophile pi broken,Neutral reactants -> neutral cyclohexene ring,true,true
RXN_CANNIZZARO_001,ST_CANN_01,1,Hydroxide Addition to Non-Enolizable Carbonyl,Hydroxide attacks the carbonyl carbon of non-enolizable aldehyde to form a tetrahedral dianion / monoanion adduct.,INT_TETRA_CANN,EF_CANN_01,C-OH formed; C=O pi broken,Oxygen carries negative charge,false,true
RXN_CANNIZZARO_001,ST_CANN_02,2,Intermolecular Hydride Transfer Disproportionation,Collapse of the tetrahedral oxyanion drives hydride transfer directly to the carbonyl carbon of a second aldehyde molecule.,,EF_CANN_02|EF_CANN_03,C=O reformed; C-H formed on second aldehyde,Forms carboxylate salt + alkoxide (rapid proton transfer to alcohol),true,false
RXN_WITTIG_001,ST_WITT_01,1,[2+2] Cycloaddition to Oxaphosphetane,Nucleophilic carbanion of phosphonium ylide attacks carbonyl carbon with simultaneous or rapid P-O bond formation yielding 4-membered oxaphosphetane ring.,INT_OXAPHOSPHETANE,EF_WIT_01|EF_WIT_02,C-C formed; P-O formed; C=O pi and P=C broken,Neutral 4-membered ring,true,false
RXN_WITTIG_001,ST_WITT_02,2,Retro-[2+2] Cycloreversion to Alkene,"The strained 4-membered oxaphosphetane ring collapses spontaneously driven by the extraordinary thermodynamic strength of the P=O bond (575 kJ/mol), liberating the alkene.",,EF_WIT_03|EF_WIT_04,C=C pi bond formed; P=O double bond formed; C-O and C-P broken,Neutral alkene + Triphenylphosphine oxide (Ph3P=O),false,false
RXN_BAEYER_VILLIGER_001,ST_BV_01,1,Peroxyacid Addition to Carbonyl (Criegee Adduct),Peroxyacid oxygen adds nucleophilically to ketone carbonyl to form tetrahedral Criegee intermediate.,INT_CRIEGEE,EF_BV_01,C-O-O formed,Tetrahedral intermediate formed,false,true
RXN_BAEYER_VILLIGER_001,ST_BV_02,2,"1,2-Alkyl/Aryl Migration with Peroxide Cleavage",More substituted alkyl/aryl group migrates with retention of configuration onto adjacent peroxy oxygen with simultaneous cleavage of weak O-O bond and expulsion of carboxylate.,,EF_BV_02|EF_BV_03,C-C broken; C-O formed; O-O broken; C=O reformed,Ester or lactone product + carboxylate byproduct,true,false
RXN_BECKMANN_001,ST_BECK_01,1,Oxime Hydroxyl Activation & Anti-Migration,"Acid activates oxime OH into good leaving group (-OH2+ or -OTs); the group positioned anti to OH undergoes stereospecific 1,2-migration to nitrogen with water expulsion, forming a nitrilium ion.",INT_NITRILIUM,EF_BECK_01|EF_BECK_02,C-C broken; C-N formed; N-OH broken,Nitrilium ion carries +1 charge,true,false
RXN_BECKMANN_001,ST_BECK_02,2,Water Hydration & Tautomerization to Amide,Water traps the electrophilic nitrilium carbon to form an imidate intermediate which tautomerizes to the stable secondary amide.,,EF_BECK_03|EF_BECK_04,C-OH formed; tautomerizes to C=O and N-H,Neutral secondary amide,false,false
RXN_NABH4_RED_001,ST_NABH4_01,1,Nucleophilic Hydride Transfer,Borohydride B-H bond electrons attack carbonyl carbon; pi electrons move onto oxygen to form borate alkoxide complex.,INT_BORATE_ALKOXIDE,EF_BH4_01|EF_BH4_02,C-H formed; C=O pi broken to C-O-,Alkoxide oxygen carries negative charge coordinated to sodium,true,false
RXN_NABH4_RED_001,ST_NABH4_02,2,Protonation by Protic Solvent,Protic solvent (MeOH/EtOH) protonates alkoxide to furnish alcohol product and regenerate borate ester.,,EF_BH4_03,O-H formed,Neutral alcohol product,false,false
RXN_EPOXIDATION_001,ST_EPOX_01,1,Concerted Butterfly Transition State Oxygen Transfer,Electrophilic terminal peroxy oxygen is transferred to the alkene pi bond while peroxy proton transfers internally to peroxy carbonyl in a concerted butterfly transition state.,TS_BUTTERFLY_EPOX,EF_EPX_01|EF_EPX_02|EF_EPX_03|EF_EPX_04,Two C-O sigma bonds formed; C=C pi broken; O-O broken; mCBA formed,Neutral epoxide + neutral meta-chlorobenzoic acid (mCBA),true,false
